name,kind,year,price,fuel_kind,km/l,car_output,torque,cc,engine,driving_system,gear,full_length,full_height,full_width,range
테슬라 모델3,중형 세단,2023,"6,034~7,594만원",전기,403~480km 1회 충전 시,"복합 5.1~5.7km/kWh 도심 4.8, 고속 4.5",208~360kW 모터 279~482hp (단순환산치),353~660Nm 모터 36.0~67.3kg.m (단순환산치),50~75kWh 배터리,"RR, AWD",자동1단,"4,694mm","1,443mm","1,849mm","2,875mm"
메르세데스-벤츠 A클래스,준중형 해치백,2023,"4,510만원",가솔린,"복합 11.9km/ℓ 도심 10.5, 고속 14.3",190hp 엔진,30.6kg.m 엔진,"1,991cc",I4 싱글터보,FF,DCT7단,"4,420mm","1,445mm","1,795mm","2,729mm"
메르세데스-벤츠 AMG A클래스 세단,준중형 세단,2023,"6,730만원",가솔린,"복합 10.1km/ℓ 도심 9.2, 고속 11.7",306hp 엔진,40.8kg.m 엔진,"1,991cc",I4 싱글터보,AWD,DCT7단,"4,565mm","1,415mm","1,790mm","2,730mm"
기아 K8,준대형 세단,2023,"3,284~4,599만원","LPG, 가솔린","복합 7.7~12km/ℓ 도심 6.6~10.3, 고속 9.6~15",198~300hp 엔진,25.3~36.6kg.m 엔진,"2,497~3,470cc","I4, V6 자연흡기","FF, AWD",자동8단,"5,015mm","1,455mm","1,875mm","2,895mm"
포르쉐 마칸 GTS,중형 SUV,2022,"11,450만원",가솔린,"복합 7.6km/ℓ 도심 6.9, 고속 8.8",443hp 엔진,56.1kg.m 엔진,"2,894cc",V6 트윈터보,AWD,DCT7단,"4,725mm","1,585mm","1,925mm","2,805mm"
대창모터스 다니고 T,소형 트럭,2023,"4,280만원",전기,181km 1회 충전 시,"복합 도심 , 고속",60kW 모터 80hp (단순환산치),57.7kWh 배터리,RR,자동1단,"4,635mm","2,315mm","1,635mm","3,050mm",
미니 컨트리맨,소형 SUV,2024,"4,830만원",가솔린,"복합 11.6km/ℓ 도심 10.5, 고속 13.2",136hp 엔진,22.4kg.m 엔진,"1,499cc",I3 싱글터보,FF,DCT7단,"4,295mm","1,555mm","1,820mm","2,670mm"
아우디 S5 스포트백,중형 쿠페,2022,"8,449만원",가솔린,"복합 9.2km/ℓ 도심 8.1, 고속 11.1",354hp 엔진,50.9kg.m 엔진,"2,995cc",V6 싱글터보,AWD,자동8단,"4,765mm","1,400mm","1,845mm","2,826mm"
랜드로버 레인지로버,대형 SUV,2023,"20,397~22,437만원","가솔린, 디젤","복합 6.8~10.1km/ℓ 도심 5.6~8.8, 고속 9~12.3",350~530hp 엔진,71.4~76.5kg.m 엔진,"2,997~4,395cc","I6, V8 트윈터보",AWD,자동8단,"5,052mm","1,870mm","2,003mm","2,997mm"
BMW X3,중형 SUV,2023,"6,570~9,670만원","가솔린, 디젤","복합 9.2~12.2km/ℓ 도심 8.1~11, 고속 10.9~14.1",184~387hp 엔진,29.5~51kg.m 엔진,"1,995~2,998cc","I4, I6 싱글터보",AWD,자동8단,"4,710~4,715mm","1,675mm","1,890mm","2,865mm"
BMW iX1,준중형 SUV,2023,"6,710~6,950만원",전기,310km 1회 충전 시,"복합 4.2km/kWh 도심 4.2, 고속 4.1",234kW 모터 314hp (단순환산치),494Nm 모터 50.4kg.m (단순환산치),66.5kWh 배터리,AWD,자동1단,"4,500mm","1,615mm","1,835mm","2,690mm"
푸조 5008 GT,중형 SUV,2023,"6,100만원",디젤,"복합 15km/ℓ 도심 13.4, 고속 17.4",177hp 엔진,40.8kg.m 엔진,"1,997cc",I4 싱글터보,FF,자동8단,"4,640mm","1,650mm","1,845mm","2,840mm"
토요타 라브4 하이브리드,준중형 SUV,2023,"4,380~4,950만원","가솔린, 하이브리드","복합 15.1~16.1km/ℓ 도심 15.4~17.1, 고속 14.7~15.1",218~222hp/178hp 합산/엔진,22.5kg.m 엔진,"2,487cc",I4 자연흡기,"FF, AWD",CVT,"4,600mm","1,685mm","1,855mm","2,690mm"
아우디 RSQ8,준대형 SUV,2023,"17,922만원",가솔린,"복합 6.6km/ℓ 도심 5.8, 고속 8.2",600hp 엔진,81.5kg.m 엔진,"3,996cc",V8 트윈터보,AWD,자동8단,"5,010mm","1,750mm","2,000mm","2,998mm"
르노코리아 XM3 E-TECH 하이브리드,소형 SUV,2023,"3,165~3,422만원","가솔린, 하이브리드","복합 17~17.4km/ℓ 도심 17.4~17.5, 고속 16.6~17.3",86hp 엔진,13.9kg.m 엔진,"1,598cc",I4 자연흡기,FF,자동6단,"4,570mm","1,570mm","1,820mm","2,720mm"
BMW M3,중형 세단,2023,"13,060만원",가솔린,"복합 8.3km/ℓ 도심 7.3, 고속 10",510hp 엔진,66.3kg.m 엔진,"2,993cc",I6 트윈터보,AWD,자동8단,"4,795mm","1,440mm","1,905mm","2,855mm"
메르세데스-벤츠 C클래스,중형 세단,2023,"6,830~7,400만원",가솔린,"복합 11.2km/ℓ 도심 9.9, 고속 13.4",258hp 엔진,40.8kg.m 엔진,"1,999cc",I4 싱글터보,AWD,자동9단,"4,755~4,795mm","1,455mm","1,820mm","2,865mm"
렉서스 LC 컨버터블,스포츠카 컨버터블,2023,"19,050만원",가솔린,"복합 7.5km/ℓ 도심 6.1, 고속 10.5",477hp 엔진,55.1kg.m 엔진,"4,969cc",V8 자연흡기,FR,자동10단,"4,760mm","1,350mm","1,920mm","2,870mm"
아우디 SQ5,중형 SUV,2023,"9,411만원",가솔린,"복합 8.6km/ℓ 도심 7.6, 고속 10.5",354hp 엔진,50.9kg.m 엔진,"2,995cc",V6 싱글터보,AWD,자동8단,"4,680mm","1,640mm","1,895mm","2,825mm"
쉐보레 이쿼녹스,중형 SUV,2022,"3,145~4,145만원",가솔린,"복합 10.6~11.5km/ℓ 도심 9.8~10.6, 고속 11.9~12.8",172hp 엔진,28kg.m 엔진,"1,490cc",I4 싱글터보,"FF, AWD",자동6단,"4,650mm","1,660~1,690mm","1,845mm","2,725mm"
현대 포레스트,대형 RV,2023,"7,201~8,725만원",디젤,"복합 도심 , 고속",133hp 엔진,30kg.m 엔진,"2,497cc",I4 싱글터보,FR,자동5단,"5,680mm","2,930mm","2,130mm","2,640mm"
람보르기니 우루스 S,대형 SUV,2023,"29,000만원",가솔린,"복합 도심 , 고속",666hp 엔진,86.7kg.m 엔진,"3,996cc",V8 트윈터보,AWD,자동8단,"5,112mm","1,638mm","2,018mm","2,003mm"
페라리 SF90 스트라달레,스포츠카 쿠페,2019,"64,000만원","전기, 가솔린, 하이브리드","복합 7.4km/ℓ 도심 6.9, 고속 8.1",986hp/780hp/162kW 합산/엔진/모터,81.6kg.m 엔진,"3,990cc",V8 트윈터보,AWD,DCT8단,"4,705mm","1,225mm","1,975mm","2,650mm"
볼보 S60,중형 세단,2023,"5,610만원",가솔린,"복합 11.3km/ℓ 도심 9.7, 고속 14.2",250hp 엔진,35.7kg.m 엔진,"1,969cc",I4 싱글터보,FF,자동8단,"4,780mm","1,430mm","1,850mm","2,872mm"
포르쉐 파나메라,대형 세단,2022,"15,030~30,810만원",가솔린,"복합 7.1~8km/ℓ 도심 6.2~7.1, 고속 8.6~9.6",336~642hp 엔진,45.9~83.7kg.m 엔진,"2,894~3,996cc","V6, V8 트윈터보",AWD,DCT8단,"5,049~5,199mm","1,423~1,428mm","1,937mm","2,950~3,100mm"
폭스바겐 투아렉,준대형 SUV,2023,"8,830~10,284만원  내차시세",디젤,"복합 10.8km/ℓ 도심 9.6, 고속 12.8",286hp 엔진,V6 트윈터보,,,,,,,,
메르세데스-벤츠 AMG CLS클래스,준대형 쿠페,2023,"14,040만원",가솔린,"복합 9.1km/ℓ 도심 8.2, 고속 10.4",435hp 엔진,53kg.m 엔진,"2,999cc",I6 트윈터보,AWD,자동9단,"4,995mm","1,420mm","1,895mm","2,940mm"
현대 아반떼 하이브리드,준중형 세단,2023,"2,466~3,084만원","가솔린, 하이브리드","복합 21.1km/ℓ 도심 21.4, 고속 20.7",141hp/105hp 합산/엔진,15kg.m 엔진,"1,580cc",I4 자연흡기,FF,DCT6단,"4,710mm","1,420mm","1,825mm","2,720mm"
롤스로이스 고스트 EWB,대형 세단,2021,"52,300만원",가솔린,"복합 5.8km/ℓ 도심 4.9, 고속 7.7",571hp 엔진,86.7kg.m 엔진,"6,749cc",V12 트윈터보,FR,자동8단,"5,716mm","1,571mm","1,978mm","3,465mm"
로터스 에미라,스포츠카 쿠페,2022,"14,200~14,650만원",가솔린,"복합 도심 , 고속",360~400hp 엔진,43.9kg.m 엔진,"1,991~3,456cc","I4, V6 슈퍼차저",MR,"자동6단, 수동6단, DCT7단","4,412mm","1,225mm","1,895mm","2,575mm"
토요타 라브4 플러그인 하이브리드,준중형 SUV,2023,"5,650만원","전기, 가솔린, 하이브리드","복합 15.6km/ℓ 도심 16.3, 고속 14.7",306hp/178hp/174kW 합산/엔진/모터,22.7kg.m 엔진,"2,487cc",I4 자연흡기,AWD,CVT,"4,600mm","1,690mm","1,855mm","2,690mm"
현대 포터2,중형 트럭,2023,"1,854~2,366만원",디젤,"복합 8.6~9.5km/ℓ 도심 8.2~9.2, 고속 9.1~10",133~135hp 엔진,26.5~30kg.m 엔진,"2,497cc",l4 싱글터보,"FR, AWD","자동5단, 수동6단","4,775~5,175mm","1,970~2,100mm","1,740mm","2,430~2,640mm"
현대 아반떼,준중형 세단,2023,"1,975~2,818만원","LPG, 가솔린","복합 10.3~15.3km/ℓ 도심 9.1~13.7, 고속 12.1~17.7",120~123hp 엔진,15.5~15.7kg.m 엔진,"1,591~1,598cc",I4 자연흡기,FF,"자동6단, CVT","4,710mm","1,420mm","1,825mm","2,720mm"
현대 스타리아 리무진,대형 RV,2022,"5,867~6,279만원",디젤,"복합 9.4~10km/ℓ 도심 8.4~8.9, 고속 10.9~11.7",177hp 엔진,44kg.m 엔진,"2,199cc",I4 싱글터보,"FF, AWD",자동8단,"5,255mm","2,200mm","1,995mm","3,275mm"
롤스로이스 고스트,대형 세단,2021,"47,100만원",가솔린,"복합 5.7km/ℓ 도심 4.8, 고속 7.3",571hp 엔진,86.7kg.m 엔진,"6,749cc",V12 트윈터보,FR,자동8단,"5,546mm","1,571mm","1,978mm","3,295mm"
폭스바겐 파사트 GT,중형 세단,2022,"4,312~5,147만원",디젤,"복합 14.3~15.7km/ℓ 도심 12.8~13.9, 고속 16.7~18.6",200hp 엔진,40.8kg.m 엔진,"1,968cc",I4 싱글터보,"FF, AWD",DCT7단,"4,775mm","1,460mm","1,830mm","2,786mm"
푸조 508,중형 세단,2022,"4,590~5,390만원",디젤,"복합 15.6~17.2km/ℓ 도심 14.3~15.4, 고속 17.7~20",130hp 엔진,30.6kg.m 엔진,"1,499cc",l4 싱글터보,FF,자동8단,"4,750mm","1,420mm","1,860mm","2,800mm"
페라리 푸로산게,준대형 SUV,2023,가솔린,"복합 도심 , 고속",725hp 엔진,73kg.m 엔진,"6,496cc",V12 자연흡기,AWD,DCT8단,"4,973mm","1,589mm","2,028mm","3,018mm",
지프 그랜드 체로키 4XE,준대형 SUV,2023,"9,440~11,190만원","전기, 가솔린, 하이브리드","복합 8.8km/ℓ 도심 8.2, 고속 9.7",272hp 합산,40.8kg.m 엔진,"1,995cc",I4 싱글터보,4WD,자동8단,"4,900~4,910mm","1,790mm","1,980mm","2,965mm"
기아 셀토스,소형 SUV,2024,"2,087~2,903만원",가솔린,"복합 10.8~12.9km/ℓ 도심 9.8~11.8, 고속 12.2~14.6",149~198hp 엔진,18.3~27kg.m 엔진,"1,598~1,999cc",I4 자연흡기,"FF, AWD","자동8단, CVT","4,390mm","1,600~1,620mm","1,800mm","2,630mm"
애스턴마틴 DBX,대형 SUV,2020,"24,800만원",가솔린,"복합 6.9km/ℓ 도심 , 고속",550hp 엔진,71.4kg.m 엔진,"3,982cc",V8 트윈터보,AWD,자동9단,"5,039mm","1,680mm","2,050mm","3,060mm"
미니 클럽맨,소형 왜건,2024,"4,310만원",가솔린,"복합 11.5km/ℓ 도심 10.4, 고속 13.3",136hp 엔진,22.4kg.m 엔진,"1,499cc",I3 싱글터보,FF,DCT7단,"4,266mm","1,440mm","1,800mm","2,670mm"
아우디 Q2,소형 SUV,2023,"4,020~4,363만원",디젤,"복합 16.7km/ℓ 도심 15.5, 고속 18.5",150hp 엔진,36.7kg.m 엔진,"1,968cc",I4 싱글터보,FF,DCT7단,"4,210~4,215mm","1,535mm","1,795mm","2,600mm"
시트로엥 그랜드 C4 스페이스 투어러,준중형 RV,2021,"4,229~4,585만원",디젤,"복합 14.5km/ℓ 도심 13.5, 고속 16",131hp 엔진,30.6kg.m 엔진,"1,499cc",I4 싱글터보,FF,자동8단,"4,600mm","1,645mm","1,825mm","2,840mm"
메르세데스-벤츠 AMG GT C 로드스터,스포츠카 컨버터블,2021,"21,960만원",가솔린,"복합 7km/ℓ 도심 , 고속",557hp 엔진,69.3kg.m 엔진,"3,982cc",V8 트윈터보,FR,DCT7단,"4,550mm","1,255mm","2,005mm","2,630mm"
페라리 812 슈퍼패스트,스포츠카 쿠페,2017,"47,100만원",가솔린,"복합 5.4km/ℓ 도심 4.8, 고속 6.6",800hp 엔진,73.2kg.m 엔진,"6,496cc",V12 자연흡기,FR,DCT7단,"4,660mm","1,275mm","1,970mm","2,720mm"
메르세데스-벤츠 S클래스 플러그인 하이브리드,대형 세단,2023,"24,200만원","전기, 가솔린, 하이브리드","복합 도심 , 고속",510hp/367hp/110kW 합산/엔진/모터,76.5kg.m/51kg.m/440Nm 합산/엔진/모터,"2,999cc",I6 트윈터보,AWD,자동9단,"5,320mm","1,503mm","1,954mm","3,216mm"
마세라티 그레칼레,중형 SUV,2023,"9,900~16,900만원",가솔린,"복합 8~9.9km/ℓ 도심 7~9, 고속 9.6~11.2",300~530hp 엔진,45.9~63.2kg.m 엔진,"1,995~2,992cc","I4, V6 트윈터보",AWD,자동8단,"4,850~4,860mm","1,660~1,670mm","1,950~1,980mm","2,901mm"
기아 K5,중형 세단,2023,"2,418~3,308만원","LPG, 가솔린","복합 9.8~13.6km/ℓ 도심 8.7~12.1, 고속 11.4~16",146~180hp 엔진,19.5~27kg.m 엔진,"1,598~1,999cc",I4 자연흡기,FF,자동,"4,905mm","1,445mm","1,860mm","2,850mm"
포르쉐 카이엔 E-하이브리드,준대형 SUV,2022,"12,160~14,290만원","전기, 가솔린, 하이브리드","복합 7.7~8km/ℓ 도심 7.5, 고속 8",456hp/343hp/100kW 합산/엔진/모터,71.4kg.m/45.9kg.m/400Nm 합산/엔진/모터,"2,995cc",V6 싱글터보,AWD,DCT8단,"4,920mm","1,710mm","1,985mm","2,895mm"
롤스로이스 고스트 블랙배지,대형 세단,2022,"55,500만원",가솔린,"복합 5.6km/ℓ 도심 4.6, 고속 7.4",600hp 엔진,91.8kg.m 엔진,"6,749cc",V12 트윈터보,FR,자동8단,"5,546mm","1,571mm","1,978mm","3,295mm"
포드 익스플로러,준대형 SUV,2023,"6,865~7,895만원",가솔린,"복합 8.3~8.9km/ℓ 도심 7.2~8.1, 고속 10.2",304~370hp 엔진,42.9~54kg.m 엔진,"2,261~2,956cc","I4, V6 트윈터보",AWD,자동10단,"5,050mm","1,775mm","2,005mm","3,025mm"
토요타 GR 86,스포츠카 쿠페,2022,"4,090~4,690만원",가솔린,"복합 9.5km/ℓ 도심 8.2, 고속 11.9",231hp 엔진,25.5kg.m 엔진,"2,387cc",F4 자연흡기,FR,수동6단,"4,265mm","1,310mm","1,775mm","2,575mm"
메르세데스-벤츠 AMG GLB클래스,준중형 SUV,2023,"7,500만원",가솔린,"복합 9km/ℓ 도심 8.1, 고속 10.4",306hp 엔진,40.8kg.m 엔진,"1,991cc",I4 싱글터보,AWD,DCT8단,"4,650mm","1,660mm","1,845mm","2,830mm"
페라리 포르토피노,스포츠카 컨버터블,2018,"29,900만원",가솔린,"복합 8.1km/ℓ 도심 7.3, 고속 9.5",600hp 엔진,77.5kg.m 엔진,"3,855cc",V8 트윈터보,FR,DCT7단,"4,585mm","1,320mm","1,940mm","2,670mm"
기아 레이,경형 RV,2023,"1,340~1,815만원",가솔린,"복합 12.7~13km/ℓ 도심 11.9~12.2, 고속 13.7~14",76hp 엔진,9.7kg.m 엔진,998cc,I3 자연흡기,FF,자동4단,"3,595mm","1,700mm","1,595mm","2,520mm"
벤틀리 컨티넨탈 GT,대형 쿠페,2023,"32,890~38,070만원",가솔린,"복합 7.4km/ℓ 도심 6.5, 고속 8.8",550hp 엔진,78.5kg.m 엔진,"3,996cc",V8 트윈터보,AWD,자동8단,"4,850mm","1,405mm","1,965mm","2,851mm"
현대 아이오닉 6,중형 세단,2023,"5,200~6,382만원",전기,367~524km 1회 충전 시,"복합 5.5~6.2km/kWh 도심 5.9~6.8, 고속 5.2~5.5",111~239kW 모터 149~320hp (단순환산치),350~605Nm 모터 35.7~61.7kg.m (단순환산치),53~77.4kWh 배터리,"RR, AWD",자동1단,"4,855mm","1,495mm","1,880mm","2,950mm"
렉서스 LS 하이브리드,대형 세단,2023,"15,343~17,403만원","가솔린, 하이브리드","복합 9.6km/ℓ 도심 8.8, 고속 10.9",359hp/299hp 합산/엔진,35.7kg.m 엔진,"3,456cc",V6 자연흡기,AWD,CVT,"5,235mm","1,460mm","1,900mm","3,125mm"
포르쉐 911 카레라 GTS,스포츠카 쿠페,2022,"19,490~20,410만원",가솔린,"복합 7.9~8.1km/ℓ 도심 7~7.2, 고속 9.4",483hp 엔진,58.2kg.m 엔진,"2,981cc",F6 트윈터보,"RR, AWD",DCT8단,"4,535mm","1,300mm","1,850mm","2,450mm"
미니 클럽맨 S,소형 왜건,2024,"5,150만원",가솔린,"복합 10.6km/ℓ 도심 9.3, 고속 12.7",192hp 엔진,28.5kg.m 엔진,"1,998cc",I4 싱글터보,FF,DCT7단,"4,265mm","1,440mm","1,800mm","2,670mm"
메르세데스-벤츠 AMG A클래스,준중형 해치백,2023,"7,310만원",가솔린,"복합 9km/ℓ 도심 7.8, 고속 10.9",387hp 엔진,48.9kg.m 엔진,"1,991cc",I4 싱글터보,AWD,DCT8단,"4,445mm","1,410mm","1,850mm","2,730mm"
코닉세그 제메라,스포츠카 쿠페,2020,"가솔린, 하이브리드","복합 도심 , 고속","1,700hp/590hp 합산/엔진",357kg.m/61.2kg.m 합산/엔진,"1,988cc",I3,AWD,CVT,"4,975mm","1,295mm","1,988mm","3,000mm",
지프 그랜드 체로키,준대형 SUV,2023,"7,690~8,470만원",가솔린,"복합 7.4km/ℓ 도심 6.6, 고속 8.8",286hp 엔진,35.1kg.m 엔진,"3,604cc",V6 자연흡기,4WD,자동8단,"4,900mm","1,790mm","1,980mm","2,965mm"
메르세데스-벤츠 AMG E클래스,준대형 세단,2023,"12,980만원",가솔린,"복합 9.2km/ℓ 도심 8.4, 고속 10.5",435hp 엔진,53kg.m 엔진,"2,999cc",I6 트윈터보,AWD,자동9단,"4,955mm","1,450mm","1,860mm","2,940mm"
토요타 크라운 크로스오버 하이브리드,준대형 세단,2023,"5,750~6,570만원","가솔린, 하이브리드","복합 11~17.2km/ℓ 도심 10~17.6, 고속 12.5~16.6",239~348hp/186~272hp 합산/엔진,22.5~46.9kg.m 엔진,"2,393~2,487cc",I4 자연흡기,AWD,"자동6단, CVT","4,980mm","1,540mm","1,840mm","2,850mm"
랜드로버 레인지로버 스포츠,준대형 SUV,2023,"13,997~15,807만원","가솔린, 디젤","복합 8~10.4km/ℓ 도심 6.9~9.1, 고속 10.1~12.6",296~355hp 엔진,51~66.3kg.m 엔진,"2,996~2,997cc",I6 트윈터보,AWD,자동8단,"4,946mm","1,820mm","2,003mm","2,997mm"
기아 K5 하이브리드,중형 세단,2023,"2,842~3,579만원","가솔린, 하이브리드","복합 19.1~20.1km/ℓ 도심 18.8~19.9, 고속 19.3~20.2",195hp/152hp 합산/엔진,19.2kg.m 엔진,"1,999cc",I4 자연흡기,FF,자동6단,"4,905mm","1,445mm","1,860mm","2,850mm"
아우디 RS5 스포트백,중형 쿠페,2023,"12,452만원",가솔린,"복합 8.3km/ℓ 도심 7.3, 고속 10",450hp 엔진,61.8kg.m 엔진,"2,894cc",V6 트윈터보,AWD,자동8단,"4,785mm","1,410mm","1,865mm","2,826mm"
맥라렌 GT,스포츠카 쿠페,2020,"28,200만원",가솔린,"복합 8.4km/ℓ 도심 , 고속",620hp 엔진,64.2kg.m 엔진,"3,994cc",V8 트윈터보,MR,DCT7단,"4,683mm","1,213mm","2,095mm","2,675mm"
렉서스 LC 하이브리드,스포츠카 쿠페,2023,"19,240만원","가솔린, 하이브리드","복합 10.9km/ℓ 도심 10.5, 고속 11.5",359hp/299hp 합산/엔진,35.7kg.m 엔진,"3,456cc",V6 자연흡기,FR,CVT,"4,760mm","1,345mm","1,920mm","2,870mm"
쉐보레 타호,대형 SUV,2022,"9,390~9,500만원",가솔린,"복합 6.4km/ℓ 도심 5.7, 고속 7.6",426hp 엔진,63.6kg.m 엔진,"6,162cc",V8 자연흡기,4WD,자동10단,"5,350mm","1,925mm","2,060mm","3,071mm"
볼보 S90 플러그인 하이브리드,준대형 세단,2023,"8,740만원","전기, 가솔린, 하이브리드","복합 11.9km/ℓ 도심 11.2, 고속 12.8",462hp/312hp 합산/엔진,72.3kg.m/40.8kg.m 합산/엔진,"1,969cc",I4 슈퍼차저,AWD,자동8단,"5,090mm","1,445mm","1,880mm","3,060mm"
DS 4,준중형 해치백,2022,"4,460~5,160만원",디젤,"복합 16.2~16.5km/ℓ 도심 14.9~15.2, 고속 18.1~18.6",130hp 엔진,30.6kg.m 엔진,"1,499cc",I4 싱글터보,FF,자동8단,"4,410mm","1,505mm","1,830mm","2,675mm"
아우디 e-트론 GT,준대형 쿠페,2022,"14,322~16,320만원",전기,362km 1회 충전 시,"복합 3.7km/kWh 도심 3.5, 고속 3.9",390kW 모터 523hp (단순환산치),640Nm 모터 65.3kg.m (단순환산치),93.4kWh 배터리,AWD,자동2단,"4,990mm","1,405~1,420mm","1,965mm","2,898mm"
기아 K3,준중형 세단,2023,"1,765~2,468만원",가솔린,"복합 14.1~15.2km/ℓ 도심 12.6~13.6, 고속 16.3~17.7",123hp 엔진,15.7kg.m 엔진,"1,598cc",I4 자연흡기,FF,CVT,"4,645mm","1,440mm","1,800mm","2,700mm"
테슬라 모델Y,중형 SUV,2023,"7,874~8,534만원",전기,448~511km 1회 충전 시,"복합 4.8~5.4km/kWh 도심 4.9~5.6, 고속 4.7~5.2",258~336kW 모터 346~450hp (단순환산치),527~637Nm 모터 53.8~65.0kg.m (단순환산치),75kWh 배터리,AWD,자동1단,"4,750mm","1,624mm","1,921mm","2,890mm"
볼보 XC40,준중형 SUV,2023,"4,840~5,280만원",가솔린,"복합 10.1km/ℓ 도심 8.8, 고속 12.1",197hp 엔진,30.6kg.m 엔진,"1,969cc",I4 싱글터보,AWD,자동8단,"4,440mm","1,640mm","1,875mm","2,702mm"
기아 쏘렌토 하이브리드,중형 SUV,2023,"3,630~4,668만원","가솔린, 하이브리드","복합 13.2~15.3km/ℓ 도심 14~16.3, 고속 12.3~14.2",230hp/180hp 합산/엔진,35.7kg.m/27kg.m 합산/엔진,"1,598cc",I4 싱글터보,"FF, AWD",자동6단,"4,810mm","1,695~1,700mm","1,900mm","2,815mm"
BMW 2시리즈,준중형 쿠페,2022,"6,920만원",가솔린,"복합 9.6km/ℓ 도심 8.3, 고속 12",387hp 엔진,51kg.m 엔진,"2,998cc",I6 싱글터보,AWD,자동8단,"4,537mm","1,390mm","1,838mm","2,741mm"
기아 니로 EV,소형 SUV,2024,"4,855~5,120만원",전기,401km 1회 충전 시,"복합 5.3km/kWh 도심 5.9, 고속 4.8",150kW 모터 201hp (단순환산치),255Nm 모터 26.0kg.m (단순환산치),64.8kWh 배터리,FF,자동1단,"4,420mm","1,570mm","1,825mm","2,720mm"
랜드로버 디펜더 130,준대형 SUV,2023,"13,707~14,217만원","가솔린, 디젤","복합 7.2~9.9km/ℓ 도심 6.6~9.1, 고속 8.2~11.1",296~395hp 엔진,56.1~66.3kg.m 엔진,"2,996~2,997cc",I6 싱글터보,AWD,자동8단,"5,098mm","1,970mm","1,996mm","3,022mm"
레디컬 SR10,스포츠카 컨버터블,2022,"23,000만원",가솔린,"복합 도심 , 고속",425hp 엔진,52.5kg.m 엔진,"2,261cc",I4 싱글터보,MR,S/T6단,"4,077mm","1,093mm","1,799mm",
푸조 2008,소형 SUV,2022,"3,700~4,000만원",디젤,"복합 17.1km/ℓ 도심 15.7, 고속 19",130hp 엔진,30.6kg.m 엔진,"1,499cc",I4 싱글터보,FF,자동8단,"4,300mm","1,550mm","1,770mm","2,605mm"
페라리 F8 스파이더,스포츠카 컨버터블,2020,"39,700만원",가솔린,"복합 6.4km/ℓ 도심 5.6, 고속 7.7",720hp 엔진,78.5kg.m 엔진,"3,902cc",V8 트윈터보,MR,DCT7단,"4,610mm","1,200mm","1,980mm","2,650mm"
볼보 C40 리차지,준중형 SUV,2023,"6,483만원",전기,356km 1회 충전 시,"복합 4.1km/kWh 도심 4.4, 고속 3.7",300kW 모터 402hp (단순환산치),660Nm 모터 67.3kg.m (단순환산치),78kWh 배터리,AWD,자동1단,"4,440mm","1,595mm","1,875mm","2,702mm"
미니 컨버터블 JCW,소형 컨버터블,2024,"5,850만원",가솔린,"복합 11.3km/ℓ 도심 10, 고속 13.5",231hp 엔진,32.6kg.m 엔진,"1,998cc",I4 싱글터보,FF,자동8단,"3,870mm","1,415mm","1,725mm","2,495mm"
볼보 V90 크로스 컨트리,준대형 왜건,2023,"7,100~8,070만원",가솔린,"복합 10.4~10.6km/ℓ 도심 9~9.3, 고속 12.7~12.8",250~300hp 엔진,35.7~42.8kg.m 엔진,"1,969cc",I4 싱글터보,AWD,자동8단,"4,960mm","1,510mm","1,905mm","2,941mm"
랜드로버 레인지로버 이보크,준중형 SUV,2023,"6,810~7,660만원",가솔린,"복합 8.9km/ℓ 도심 7.9, 고속 10.5",249hp 엔진,37.2kg.m 엔진,"1,997cc",I4 싱글터보,AWD,자동9단,"4,371mm","1,649mm","1,904mm","2,681mm"
포드 머스탱,스포츠카 쿠페,2023,"5,150~6,825만원",가솔린,"복합 7.5~9.4km/ℓ 도심 6.2~8, 고속 10.1~12",291~446hp 엔진,44.9~54.1kg.m 엔진,"2,261~5,035cc","I4, V8 자연흡기",FR,자동10단,"4,790mm","1,380mm","1,915mm","2,720mm"
푸조 5008,중형 SUV,2023,"5,000~5,500만원","가솔린, 디젤","복합 12.1~14.9km/ℓ 도심 10.8~14.6, 고속 14.2~15.3",130hp 엔진,23.5~30.6kg.m 엔진,"1,199~1,499cc","I3, I4 싱글터보",FF,자동8단,"4,640~4,650mm","1,650mm","1,845mm","2,840mm"
BMW 7시리즈,대형 세단,2023,"15,840~17,630만원","가솔린, 디젤","복합 10.7~12.5km/ℓ 도심 9.7~11, 고속 12.2~15.2",299~381hp 엔진,55.1~68.3kg.m 엔진,"2,993~2,998cc",I6 싱글터보,"AWD, FR",자동8단,"5,390mm","1,545mm","1,950mm","3,215mm"
포르쉐 카이엔,준대형 SUV,2022,"11,120~17,100만원",가솔린,"복합 6.6~7.8km/ℓ 도심 7.1, 고속 8.9",342~550hp 엔진,45.9~78.6kg.m 엔진,"2,995~3,996cc","V6, V8 트윈터보",AWD,DCT8단,"4,918~4,926mm","1,655~1,696mm","1,983~1,985mm","2,895mm"
포르쉐 카이맨 GTS,스포츠카 쿠페,2021,"11,670만원",가솔린,"복합 8.4km/ℓ 도심 , 고속",407hp 엔진,43.9kg.m 엔진,"3,995cc",F6 자연흡기,MR,DCT7단,"4,405mm","1,285mm","1,800mm","2,475mm"
